Id Cuenta;Marca;Nombre;Cantidad;precioCompra;precioVenta;tipoPedido;;;
814;Marca_1;Producto_87;10;1.12003004E7;1.12003004E7;ALTA;;;
968;Marca_1;Producto_3906;1;1.12003004E7;1.12003004E7;ALTA;;;
3048;Marca_1;Producto_1510;48;1.12003004E7;1.12003004E7;ALTA;;;
2598;Marca_5;Producto_3737;13;1.12003004E7;1.12003004E7;ALTA;;;
525;Marca_1;Producto_4508;10;1.12003004E7;1.12003004E7;ALTA;;;
377;Marca_5;Producto_1785;62;1.12003004E7;1.12003004E7;ALTA;;;
3914;Marca_4;Producto_4870;26;1.12003004E7;1.12003004E7;BAJA;;;
916;Marca_4;Producto_3753;55;1.12003004E7;1.12003004E7;COMPRA;;;
2771;Marca_3;Producto_4712;18;1.12003004E7;1.12003004E7;BAJA;;;
3572;Marca_1;Producto_1377;1;1.12003004E7;1.12003004E7;ALTA;;;
2470;Marca_3;Producto_4102;18;1.12003004E7;1.12003004E7;ALTA;;;
3490;Marca_4;Producto_4456;16;1.12003004E7;1.12003004E7;COMPRA;;;
3974;Marca_3;Producto_671;8;1.12003004E7;1.12003004E7;BAJA;;;
1415;Marca_1;Producto_4566;20;1.12003004E7;1.12003004E7;VENTA;;;
2497;Marca_3;Producto_4953;65;1.12003004E7;1.12003004E7;COMPRA;;;
1117;Marca_2;Producto_3057;64;1.12003004E7;1.12003004E7;VENTA;;;
3830;Marca_4;Producto_254;62;1.12003004E7;1.12003004E7;COMPRA;;;
3122;Marca_2;Producto_3319;14;1.12003004E7;1.12003004E7;BAJA;;;
657;Marca_3;Producto_4835;3;1.12003004E7;1.12003004E7;VENTA;;;
3626;Marca_4;Producto_1978;7;1.12003004E7;1.12003004E7;BAJA;;;
3493;Marca_4;Producto_3688;24;1.12003004E7;1.12003004E7;ALTA;;;
970;Marca_4;Producto_4620;11;1.12003004E7;1.12003004E7;ALTA;;;
1441;Marca_2;Producto_2098;34;1.12003004E7;1.12003004E7;VENTA;;;
196;Marca_4;Producto_1332;1;1.12003004E7;1.12003004E7;ALTA;;;
392;Marca_3;Producto_3936;63;1.12003004E7;1.12003004E7;ALTA;;;
1873;Marca_1;Producto_1805;35;1.12003004E7;1.12003004E7;ALTA;;;
2806;Marca_1;Producto_1697;1;1.12003004E7;1.12003004E7;VENTA;;;
2437;Marca_5;Producto_1604;13;1.12003004E7;1.12003004E7;BAJA;;;
2083;Marca_2;Producto_2932;5;1.12003004E7;1.12003004E7;BAJA;;;
3311;Marca_4;Producto_3312;25;1.12003004E7;1.12003004E7;ALTA;;;
206;Marca_2;Producto_3221;25;1.12003004E7;1.12003004E7;VENTA;;;
952;Marca_4;Producto_2386;11;1.12003004E7;1.12003004E7;VENTA;;;
44;Marca_5;Producto_4554;5;1.12003004E7;1.12003004E7;BAJA;;;
3356;Marca_1;Producto_858;23;1.12003004E7;1.12003004E7;VENTA;;;
721;Marca_3;Producto_682;62;1.12003004E7;1.12003004E7;COMPRA;;;
1348;Marca_1;Producto_3411;1;1.12003004E7;1.12003004E7;ALTA;;;
2552;Marca_1;Producto_1208;15;1.12003004E7;1.12003004E7;BAJA;;;
2634;Marca_4;Producto_2915;3;1.12003004E7;1.12003004E7;BAJA;;;
402;Marca_5;Producto_2891;27;1.12003004E7;1.12003004E7;COMPRA;;;
3196;Marca_1;Producto_2248;48;1.12003004E7;1.12003004E7;ALTA;;;
2476;Marca_4;Producto_3846;8;1.12003004E7;1.12003004E7;ALTA;;;
1427;Marca_5;Producto_1432;12;1.12003004E7;1.12003004E7;ALTA;;;
2430;Marca_5;Producto_2865;16;1.12003004E7;1.12003004E7;ALTA;;;
2356;Marca_5;Producto_2624;26;1.12003004E7;1.12003004E7;ALTA;;;
3160;Marca_1;Producto_2123;34;1.12003004E7;1.12003004E7;ALTA;;;
3896;Marca_1;Producto_1166;17;1.12003004E7;1.12003004E7;ALTA;;;
476;Marca_3;Producto_603;4;1.12003004E7;1.12003004E7;BAJA;;;
74;Marca_5;Producto_2266;68;1.12003004E7;1.12003004E7;VENTA;;;
2775;Marca_4;Producto_249;11;1.12003004E7;1.12003004E7;BAJA;;;
1383;Marca_2;Producto_4885;15;1.12003004E7;1.12003004E7;ALTA;;;
1678;Marca_2;Producto_3586;1;1.12003004E7;1.12003004E7;BAJA;;;
2790;Marca_4;Producto_2626;46;1.12003004E7;1.12003004E7;ALTA;;;
2985;Marca_2;Producto_129;75;1.12003004E7;1.12003004E7;ALTA;;;
934;Marca_4;Producto_2993;85;1.12003004E7;1.12003004E7;VENTA;;;
1246;Marca_2;Producto_78;71;1.12003004E7;1.12003004E7;ALTA;;;
3947;Marca_5;Producto_272;31;1.12003004E7;1.12003004E7;VENTA;;;
2711;Marca_4;Producto_4793;8;1.12003004E7;1.12003004E7;ALTA;;;
3925;Marca_4;Producto_638;33;1.12003004E7;1.12003004E7;BAJA;;;
2273;Marca_2;Producto_4618;15;1.12003004E7;1.12003004E7;VENTA;;;
1225;Marca_1;Producto_237;3;1.12003004E7;1.12003004E7;ALTA;;;
1286;Marca_3;Producto_346;6;1.12003004E7;1.12003004E7;VENTA;;;
1088;Marca_2;Producto_3714;18;1.12003004E7;1.12003004E7;ALTA;;;
1035;Marca_5;Producto_3737;16;1.12003004E7;1.12003004E7;VENTA;;;
3705;Marca_2;Producto_53;14;1.12003004E7;1.12003004E7;VENTA;;;
1823;Marca_3;Producto_624;61;1.12003004E7;1.12003004E7;ALTA;;;
1229;Marca_1;Producto_434;31;1.12003004E7;1.12003004E7;ALTA;;;
1740;Marca_2;Producto_2125;33;1.12003004E7;1.12003004E7;ALTA;;;
1662;Marca_1;Producto_1493;24;1.12003004E7;1.12003004E7;ALTA;;;
1084;Marca_4;Producto_2454;2;1.12003004E7;1.12003004E7;ALTA;;;
3141;Marca_5;Producto_928;11;1.12003004E7;1.12003004E7;BAJA;;;
1109;Marca_3;Producto_4333;7;1.12003004E7;1.12003004E7;VENTA;;;
691;Marca_3;Producto_2003;32;1.12003004E7;1.12003004E7;ALTA;;;
2013;Marca_2;Producto_3011;15;1.12003004E7;1.12003004E7;COMPRA;;;
2052;Marca_2;Producto_3354;57;1.12003004E7;1.12003004E7;ALTA;;;
508;Marca_3;Producto_4255;4;1.12003004E7;1.12003004E7;ALTA;;;
1702;Marca_2;Producto_169;38;1.12003004E7;1.12003004E7;COMPRA;;;
3648;Marca_2;Producto_450;9;1.12003004E7;1.12003004E7;BAJA;;;
3388;Marca_1;Producto_2095;47;1.12003004E7;1.12003004E7;BAJA;;;
1279;Marca_5;Producto_3374;77;1.12003004E7;1.12003004E7;BAJA;;;
3283;Marca_2;Producto_4138;25;1.12003004E7;1.12003004E7;VENTA;;;
1781;Marca_1;Producto_3233;27;1.12003004E7;1.12003004E7;VENTA;;;
214;Marca_2;Producto_4513;32;1.12003004E7;1.12003004E7;ALTA;;;
225;Marca_1;Producto_1048;33;1.12003004E7;1.12003004E7;BAJA;;;
418;Marca_1;Producto_1793;66;1.12003004E7;1.12003004E7;VENTA;;;
553;Marca_2;Producto_2272;12;1.12003004E7;1.12003004E7;ALTA;;;
3452;Marca_1;Producto_4341;59;1.12003004E7;1.12003004E7;BAJA;;;
1734;Marca_3;Producto_3078;46;1.12003004E7;1.12003004E7;VENTA;;;
1451;Marca_2;Producto_883;22;1.12003004E7;1.12003004E7;ALTA;;;
2611;Marca_3;Producto_4449;4;1.12003004E7;1.12003004E7;BAJA;;;
588;Marca_2;Producto_2558;11;1.12003004E7;1.12003004E7;ALTA;;;
1319;Marca_2;Producto_2665;8;1.12003004E7;1.12003004E7;ALTA;;;
125;Marca_1;Producto_4740;5;1.12003004E7;1.12003004E7;ALTA;;;
1674;Marca_2;Producto_2434;58;1.12003004E7;1.12003004E7;BAJA;;;
854;Marca_5;Producto_1526;48;1.12003004E7;1.12003004E7;ALTA;;;
3787;Marca_2;Producto_3641;2;1.12003004E7;1.12003004E7;VENTA;;;
2762;Marca_1;Producto_87;2;1.12003004E7;1.12003004E7;BAJA;;;
3672;Marca_5;Producto_2292;14;1.12003004E7;1.12003004E7;ALTA;;;
2529;Marca_2;Producto_3016;1;1.12003004E7;1.12003004E7;ALTA;;;
3371;Marca_4;Producto_1476;1;1.12003004E7;1.12003004E7;COMPRA;;;
868;Marca_2;Producto_2357;21;1.12003004E7;1.12003004E7;BAJA;;;
3433;Marca_3;Producto_1472;1;1.12003004E7;1.12003004E7;BAJA;;;
683;Marca_4;Producto_3666;23;1.12003004E7;1.12003004E7;BAJA;;;
283;Marca_2;Producto_2249;20;1.12003004E7;1.12003004E7;VENTA;;;
3459;Marca_5;Producto_1147;3;1.12003004E7;1.12003004E7;ALTA;;;
2188;Marca_3;Producto_4521;2;1.12003004E7;1.12003004E7;ALTA;;;
232;Marca_2;Producto_2384;7;1.12003004E7;1.12003004E7;VENTA;;;
822;Marca_3;Producto_2756;5;1.12003004E7;1.12003004E7;COMPRA;;;
2233;Marca_1;Producto_4845;70;1.12003004E7;1.12003004E7;ALTA;;;
3636;Marca_5;Producto_713;46;1.12003004E7;1.12003004E7;BAJA;;;
274;Marca_2;Producto_1096;21;1.12003004E7;1.12003004E7;COMPRA;;;
2109;Marca_4;Producto_4597;2;1.12003004E7;1.12003004E7;COMPRA;;;
1332;Marca_1;Producto_405;14;1.12003004E7;1.12003004E7;VENTA;;;
2832;Marca_4;Producto_1346;11;1.12003004E7;1.12003004E7;COMPRA;;;
319;Marca_1;Producto_1938;57;1.12003004E7;1.12003004E7;VENTA;;;
3635;Marca_5;Producto_901;84;1.12003004E7;1.12003004E7;VENTA;;;
3630;Marca_4;Producto_2651;23;1.12003004E7;1.12003004E7;VENTA;;;
2375;Marca_1;Producto_3091;55;1.12003004E7;1.12003004E7;VENTA;;;
2829;Marca_2;Producto_1766;59;1.12003004E7;1.12003004E7;ALTA;;;
286;Marca_5;Producto_3976;8;1.12003004E7;1.12003004E7;COMPRA;;;
1543;Marca_5;Producto_3288;14;1.12003004E7;1.12003004E7;ALTA;;;
1560;Marca_1;Producto_1743;17;1.12003004E7;1.12003004E7;COMPRA;;;
2168;Marca_2;Producto_1756;22;1.12003004E7;1.12003004E7;ALTA;;;
1284;Marca_2;Producto_1517;6;1.12003004E7;1.12003004E7;ALTA;;;
745;Marca_4;Producto_1758;32;1.12003004E7;1.12003004E7;VENTA;;;
2275;Marca_5;Producto_2602;4;1.12003004E7;1.12003004E7;VENTA;;;
860;Marca_4;Producto_3774;26;1.12003004E7;1.12003004E7;VENTA;;;
2747;Marca_5;Producto_90;8;1.12003004E7;1.12003004E7;BAJA;;;
1911;Marca_4;Producto_1006;12;1.12003004E7;1.12003004E7;BAJA;;;
1889;Marca_5;Producto_885;6;1.12003004E7;1.12003004E7;ALTA;;;
3011;Marca_5;Producto_4790;62;1.12003004E7;1.12003004E7;ALTA;;;
2773;Marca_4;Producto_1807;59;1.12003004E7;1.12003004E7;BAJA;;;
2671;Marca_2;Producto_3558;24;1.12003004E7;1.12003004E7;BAJA;;;
3384;Marca_3;Producto_3030;16;1.12003004E7;1.12003004E7;ALTA;;;
3771;Marca_1;Producto_519;16;1.12003004E7;1.12003004E7;ALTA;;;
404;Marca_5;Producto_3782;29;1.12003004E7;1.12003004E7;VENTA;;;
3923;Marca_1;Producto_4809;35;1.12003004E7;1.12003004E7;VENTA;;;
3952;Marca_3;Producto_2945;9;1.12003004E7;1.12003004E7;VENTA;;;
293;Marca_4;Producto_3390;1;1.12003004E7;1.12003004E7;VENTA;;;
246;Marca_4;Producto_3731;9;1.12003004E7;1.12003004E7;ALTA;;;
3339;Marca_5;Producto_1987;6;1.12003004E7;1.12003004E7;ALTA;;;
54;Marca_2;Producto_1190;9;1.12003004E7;1.12003004E7;VENTA;;;
2342;Marca_2;Producto_3423;33;1.12003004E7;1.12003004E7;ALTA;;;
1762;Marca_4;Producto_3914;18;1.12003004E7;1.12003004E7;BAJA;;;
189;Marca_4;Producto_218;17;1.12003004E7;1.12003004E7;ALTA;;;
1460;Marca_3;Producto_1747;35;1.12003004E7;1.12003004E7;VENTA;;;
594;Marca_2;Producto_4971;6;1.12003004E7;1.12003004E7;COMPRA;;;
3933;Marca_2;Producto_1190;7;1.12003004E7;1.12003004E7;VENTA;;;
670;Marca_2;Producto_1633;1;1.12003004E7;1.12003004E7;ALTA;;;
1642;Marca_4;Producto_4440;1;1.12003004E7;1.12003004E7;VENTA;;;
68;Marca_3;Producto_4771;20;1.12003004E7;1.12003004E7;COMPRA;;;
2984;Marca_1;Producto_3576;43;1.12003004E7;1.12003004E7;ALTA;;;
3607;Marca_5;Producto_439;40;1.12003004E7;1.12003004E7;ALTA;;;
3015;Marca_5;Producto_1034;29;1.12003004E7;1.12003004E7;ALTA;;;
895;Marca_3;Producto_2595;72;1.12003004E7;1.12003004E7;ALTA;;;
760;Marca_3;Producto_872;26;1.12003004E7;1.12003004E7;ALTA;;;
3270;Marca_3;Producto_2576;1;1.12003004E7;1.12003004E7;BAJA;;;
2061;Marca_1;Producto_1291;12;1.12003004E7;1.12003004E7;ALTA;;;
2971;Marca_5;Producto_3063;37;1.12003004E7;1.12003004E7;ALTA;;;
537;Marca_5;Producto_4684;1;1.12003004E7;1.12003004E7;BAJA;;;
880;Marca_4;Producto_2648;3;1.12003004E7;1.12003004E7;ALTA;;;
1792;Marca_2;Producto_4522;13;1.12003004E7;1.12003004E7;ALTA;;;
3896;Marca_4;Producto_2727;6;1.12003004E7;1.12003004E7;ALTA;;;
2146;Marca_5;Producto_499;46;1.12003004E7;1.12003004E7;VENTA;;;
1253;Marca_3;Producto_269;47;1.12003004E7;1.12003004E7;VENTA;;;
1543;Marca_2;Producto_1193;22;1.12003004E7;1.12003004E7;COMPRA;;;
848;Marca_1;Producto_4093;10;1.12003004E7;1.12003004E7;ALTA;;;
112;Marca_1;Producto_3099;3;1.12003004E7;1.12003004E7;COMPRA;;;
1464;Marca_4;Producto_235;31;1.12003004E7;1.12003004E7;VENTA;;;
3221;Marca_3;Producto_1846;19;1.12003004E7;1.12003004E7;ALTA;;;
901;Marca_4;Producto_3774;62;1.12003004E7;1.12003004E7;ALTA;;;
838;Marca_5;Producto_3052;9;1.12003004E7;1.12003004E7;ALTA;;;
241;Marca_5;Producto_1781;7;1.12003004E7;1.12003004E7;ALTA;;;
669;Marca_5;Producto_1980;34;1.12003004E7;1.12003004E7;VENTA;;;
189;Marca_2;Producto_401;64;1.12003004E7;1.12003004E7;VENTA;;;
294;Marca_1;Producto_1082;49;1.12003004E7;1.12003004E7;BAJA;;;
946;Marca_5;Producto_2072;17;1.12003004E7;1.12003004E7;ALTA;;;
3697;Marca_5;Producto_791;46;1.12003004E7;1.12003004E7;BAJA;;;
2356;Marca_2;Producto_2583;10;1.12003004E7;1.12003004E7;COMPRA;;;
1677;Marca_4;Producto_4537;45;1.12003004E7;1.12003004E7;ALTA;;;
1427;Marca_1;Producto_3298;66;1.12003004E7;1.12003004E7;COMPRA;;;
1634;Marca_4;Producto_1105;54;1.12003004E7;1.12003004E7;BAJA;;;
1052;Marca_5;Producto_2903;34;1.12003004E7;1.12003004E7;VENTA;;;
562;Marca_3;Producto_3910;63;1.12003004E7;1.12003004E7;BAJA;;;
252;Marca_2;Producto_2078;3;1.12003004E7;1.12003004E7;COMPRA;;;
3086;Marca_5;Producto_1602;7;1.12003004E7;1.12003004E7;VENTA;;;
3820;Marca_2;Producto_2416;32;1.12003004E7;1.12003004E7;COMPRA;;;
2740;Marca_4;Producto_2147;1;1.12003004E7;1.12003004E7;ALTA;;;
542;Marca_4;Producto_4965;85;1.12003004E7;1.12003004E7;COMPRA;;;
3604;Marca_4;Producto_1352;10;1.12003004E7;1.12003004E7;BAJA;;;
1664;Marca_3;Producto_3209;64;1.12003004E7;1.12003004E7;VENTA;;;
3955;Marca_4;Producto_248;2;1.12003004E7;1.12003004E7;ALTA;;;
497;Marca_1;Producto_1617;43;1.12003004E7;1.12003004E7;ALTA;;;
1420;Marca_2;Producto_445;5;1.12003004E7;1.12003004E7;ALTA;;;
1050;Marca_4;Producto_1728;36;1.12003004E7;1.12003004E7;ALTA;;;
1894;Marca_2;Producto_2559;19;1.12003004E7;1.12003004E7;COMPRA;;;
2448;Marca_5;Producto_1984;27;1.12003004E7;1.12003004E7;BAJA;;;
2196;Marca_1;Producto_1712;27;1.12003004E7;1.12003004E7;COMPRA;;;
840;Marca_4;Producto_4342;10;1.12003004E7;1.12003004E7;COMPRA;;;
31;Marca_2;Producto_3517;9;1.12003004E7;1.12003004E7;ALTA;;;
2848;Marca_5;Producto_3651;3;1.12003004E7;1.12003004E7;ALTA;;;
1995;Marca_5;Producto_2616;33;1.12003004E7;1.12003004E7;VENTA;;;
3987;Marca_5;Producto_2461;14;1.12003004E7;1.12003004E7;ALTA;;;
2593;Marca_1;Producto_1695;14;1.12003004E7;1.12003004E7;ALTA;;;
1396;Marca_4;Producto_3767;66;1.12003004E7;1.12003004E7;BAJA;;;
1525;Marca_1;Producto_1586;49;1.12003004E7;1.12003004E7;VENTA;;;
1445;Marca_5;Producto_4114;2;1.12003004E7;1.12003004E7;ALTA;;;
289;Marca_1;Producto_1273;35;1.12003004E7;1.12003004E7;ALTA;;;
19;Marca_2;Producto_498;29;1.12003004E7;1.12003004E7;ALTA;;;
1796;Marca_4;Producto_4251;1;1.12003004E7;1.12003004E7;BAJA;;;
1399;Marca_3;Producto_1778;37;1.12003004E7;1.12003004E7;ALTA;;;
3597;Marca_5;Producto_1186;40;1.12003004E7;1.12003004E7;ALTA;;;
2347;Marca_4;Producto_1944;24;1.12003004E7;1.12003004E7;ALTA;;;
2180;Marca_3;Producto_309;11;1.12003004E7;1.12003004E7;ALTA;;;
187;Marca_2;Producto_777;5;1.12003004E7;1.12003004E7;VENTA;;;
3791;Marca_5;Producto_4614;57;1.12003004E7;1.12003004E7;ALTA;;;
1408;Marca_5;Producto_33;30;1.12003004E7;1.12003004E7;ALTA;;;
3415;Marca_3;Producto_307;17;1.12003004E7;1.12003004E7;VENTA;;;
3075;Marca_4;Producto_4268;45;1.12003004E7;1.12003004E7;ALTA;;;
2570;Marca_5;Producto_4807;2;1.12003004E7;1.12003004E7;ALTA;;;
3971;Marca_2;Producto_1190;17;1.12003004E7;1.12003004E7;ALTA;;;
1849;Marca_2;Producto_3462;1;1.12003004E7;1.12003004E7;BAJA;;;
2428;Marca_5;Producto_4703;1;1.12003004E7;1.12003004E7;ALTA;;;
1263;Marca_4;Producto_4356;11;1.12003004E7;1.12003004E7;COMPRA;;;
3207;Marca_4;Producto_4822;30;1.12003004E7;1.12003004E7;BAJA;;;
3381;Marca_5;Producto_1007;14;1.12003004E7;1.12003004E7;VENTA;;;
3278;Marca_1;Producto_3608;29;1.12003004E7;1.12003004E7;ALTA;;;
2569;Marca_3;Producto_1117;52;1.12003004E7;1.12003004E7;ALTA;;;
330;Marca_4;Producto_2814;10;1.12003004E7;1.12003004E7;ALTA;;;
2326;Marca_5;Producto_3224;74;1.12003004E7;1.12003004E7;ALTA;;;
1278;Marca_5;Producto_2567;32;1.12003004E7;1.12003004E7;ALTA;;;
3638;Marca_3;Producto_4493;50;1.12003004E7;1.12003004E7;COMPRA;;;
3816;Marca_5;Producto_650;44;1.12003004E7;1.12003004E7;BAJA;;;
3658;Marca_5;Producto_3572;8;1.12003004E7;1.12003004E7;VENTA;;;
1307;Marca_4;Producto_2454;10;1.12003004E7;1.12003004E7;VENTA;;;
679;Marca_4;Producto_3432;28;1.12003004E7;1.12003004E7;ALTA;;;
3735;Marca_5;Producto_3983;24;1.12003004E7;1.12003004E7;ALTA;;;
818;Marca_5;Producto_4593;14;1.12003004E7;1.12003004E7;ALTA;;;
2828;Marca_5;Producto_3824;82;1.12003004E7;1.12003004E7;VENTA;;;
143;Marca_5;Producto_4127;11;1.12003004E7;1.12003004E7;ALTA;;;
1657;Marca_1;Producto_1187;40;1.12003004E7;1.12003004E7;ALTA;;;
1403;Marca_1;Producto_3945;28;1.12003004E7;1.12003004E7;VENTA;;;
2608;Marca_1;Producto_4568;52;1.12003004E7;1.12003004E7;COMPRA;;;
560;Marca_4;Producto_2741;1;1.12003004E7;1.12003004E7;ALTA;;;
3624;Marca_3;Producto_3674;27;1.12003004E7;1.12003004E7;ALTA;;;
670;Marca_3;Producto_4146;15;1.12003004E7;1.12003004E7;BAJA;;;
476;Marca_4;Producto_1571;26;1.12003004E7;1.12003004E7;BAJA;;;
399;Marca_1;Producto_4345;35;1.12003004E7;1.12003004E7;COMPRA;;;
404;Marca_5;Producto_846;73;1.12003004E7;1.12003004E7;VENTA;;;
1352;Marca_3;Producto_3064;68;1.12003004E7;1.12003004E7;BAJA;;;
2704;Marca_1;Producto_2506;21;1.12003004E7;1.12003004E7;ALTA;;;
3580;Marca_4;Producto_3725;49;1.12003004E7;1.12003004E7;BAJA;;;
2599;Marca_2;Producto_4271;68;1.12003004E7;1.12003004E7;COMPRA;;;
395;Marca_4;Producto_2335;57;1.12003004E7;1.12003004E7;BAJA;;;
3241;Marca_1;Producto_3249;42;1.12003004E7;1.12003004E7;BAJA;;;
3903;Marca_3;Producto_3787;8;1.12003004E7;1.12003004E7;COMPRA;;;
2884;Marca_2;Producto_3451;8;1.12003004E7;1.12003004E7;COMPRA;;;
947;Marca_2;Producto_1591;41;1.12003004E7;1.12003004E7;ALTA;;;
417;Marca_4;Producto_2915;15;1.12003004E7;1.12003004E7;BAJA;;;
1392;Marca_3;Producto_2363;40;1.12003004E7;1.12003004E7;ALTA;;;
1433;Marca_5;Producto_377;3;1.12003004E7;1.12003004E7;ALTA;;;
2220;Marca_3;Producto_4871;10;1.12003004E7;1.12003004E7;ALTA;;;
394;Marca_5;Producto_1877;15;1.12003004E7;1.12003004E7;BAJA;;;
3587;Marca_1;Producto_4895;13;1.12003004E7;1.12003004E7;ALTA;;;
393;Marca_1;Producto_4848;30;1.12003004E7;1.12003004E7;ALTA;;;
3790;Marca_4;Producto_3444;66;1.12003004E7;1.12003004E7;COMPRA;;;
3993;Marca_5;Producto_207;37;1.12003004E7;1.12003004E7;COMPRA;;;
252;Marca_4;Producto_2110;16;1.12003004E7;1.12003004E7;ALTA;;;
1285;Marca_4;Producto_2413;16;1.12003004E7;1.12003004E7;ALTA;;;
792;Marca_3;Producto_546;61;1.12003004E7;1.12003004E7;COMPRA;;;
1028;Marca_3;Producto_4446;47;1.12003004E7;1.12003004E7;ALTA;;;
1404;Marca_3;Producto_2093;41;1.12003004E7;1.12003004E7;ALTA;;;
78;Marca_4;Producto_240;3;1.12003004E7;1.12003004E7;COMPRA;;;
328;Marca_2;Producto_2943;1;1.12003004E7;1.12003004E7;ALTA;;;
2760;Marca_1;Producto_4068;10;1.12003004E7;1.12003004E7;ALTA;;;
2934;Marca_2;Producto_978;24;1.12003004E7;1.12003004E7;BAJA;;;
1285;Marca_5;Producto_1526;22;1.12003004E7;1.12003004E7;BAJA;;;
1857;Marca_5;Producto_2131;30;1.12003004E7;1.12003004E7;BAJA;;;
3236;Marca_5;Producto_1755;23;1.12003004E7;1.12003004E7;ALTA;;;
374;Marca_4;Producto_593;8;1.12003004E7;1.12003004E7;COMPRA;;;
1421;Marca_1;Producto_802;18;1.12003004E7;1.12003004E7;COMPRA;;;
603;Marca_4;Producto_984;43;1.12003004E7;1.12003004E7;ALTA;;;
3139;Marca_4;Producto_3361;78;1.12003004E7;1.12003004E7;COMPRA;;;
3113;Marca_4;Producto_548;7;1.12003004E7;1.12003004E7;ALTA;;;
360;Marca_4;Producto_3192;4;1.12003004E7;1.12003004E7;ALTA;;;
597;Marca_1;Producto_4117;6;1.12003004E7;1.12003004E7;ALTA;;;
1789;Marca_4;Producto_4034;37;1.12003004E7;1.12003004E7;VENTA;;;
450;Marca_2;Producto_1766;68;1.12003004E7;1.12003004E7;ALTA;;;
698;Marca_3;Producto_2294;4;1.12003004E7;1.12003004E7;VENTA;;;
3650;Marca_4;Producto_4937;5;1.12003004E7;1.12003004E7;VENTA;;;
150;Marca_4;Producto_2270;22;1.12003004E7;1.12003004E7;ALTA;;;
2981;Marca_2;Producto_4086;2;1.12003004E7;1.12003004E7;ALTA;;;
3884;Marca_2;Producto_1622;23;1.12003004E7;1.12003004E7;COMPRA;;;
3441;Marca_3;Producto_1393;15;1.12003004E7;1.12003004E7;ALTA;;;
416;Marca_5;Producto_2899;32;1.12003004E7;1.12003004E7;ALTA;;;
3204;Marca_5;Producto_1056;32;1.12003004E7;1.12003004E7;VENTA;;;
3545;Marca_1;Producto_1967;11;1.12003004E7;1.12003004E7;VENTA;;;
656;Marca_5;Producto_4062;56;1.12003004E7;1.12003004E7;ALTA;;;
653;Marca_5;Producto_945;54;1.12003004E7;1.12003004E7;BAJA;;;
3465;Marca_5;Producto_4126;5;1.12003004E7;1.12003004E7;ALTA;;;
2448;Marca_3;Producto_4856;13;1.12003004E7;1.12003004E7;VENTA;;;
2743;Marca_3;Producto_1959;9;1.12003004E7;1.12003004E7;ALTA;;;
2803;Marca_4;Producto_730;75;1.12003004E7;1.12003004E7;BAJA;;;
1729;Marca_3;Producto_1894;6;1.12003004E7;1.12003004E7;ALTA;;;
3176;Marca_3;Producto_2150;36;1.12003004E7;1.12003004E7;COMPRA;;;
3241;Marca_1;Producto_1724;9;1.12003004E7;1.12003004E7;ALTA;;;
806;Marca_5;Producto_2389;41;1.12003004E7;1.12003004E7;ALTA;;;
655;Marca_3;Producto_3727;3;1.12003004E7;1.12003004E7;ALTA;;;
1178;Marca_3;Producto_2023;52;1.12003004E7;1.12003004E7;BAJA;;;
966;Marca_1;Producto_4137;9;1.12003004E7;1.12003004E7;ALTA;;;
2121;Marca_5;Producto_2046;1;1.12003004E7;1.12003004E7;BAJA;;;
